id_iglesia;address;name;coordenadas
408470796;Avenida Tacna 100 Cercado de Lima;Basílica Santuario Santa Rosa de Lima;-12.0426183, -77.0352816
435829248;;La Casa del Rey;-12.0434623, -77.0374758
6024022;;Convento de Santo Domingo;-12.0437193, -77.0318903
4228823693;Jirón Chancay Cercado de Lima;Templo de San Sebastián;-12.0438168, -77.0366344
440269140;Jirón Conde de Superunda Cercado de Lima;Basílica del Santísimo Rosario;-12.0441302, -77.0318798
440269894;Jirón Conde de Superunda Cercado de Lima;Basílica de la Veracruz;-12.0441731, -77.0321609
4228847695;;Hermandad El Señor de los Milagros de Nazarenas;-12.0446365, -77.0374699
1459528357;;Santo Cristo;-12.0449881, -77.0122172
440422465;;Santuario de Nuestra Señora de la Soledad;-12.0450246, -77.0276
7528062;Jirón Huancavelica 515 Cercado de Lima;Iglesia de Las Nazarenas;-12.0455369, -77.0374203
440422455;;Iglesia de San Francisco de Asís;-12.0456566, -77.0271717
1036409224;;Santuario de la Virgen del Milagro;-12.0459714, -77.0270451
435355496;Avenida Emancipación 469 Cercado de Lima;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0463927, -77.036905
8607795;;Iglesia y Convento San Agustín;-12.04649, -77.0337655
436431616;;Parroquia La Visitacion de Nuestra Señora;-12.0465541, -77.0470864
8531715;Jirón Carabaya 200 Cercado de Lima;Catedral de Lima;-12.0467406, -77.0296657
435348092;;Parroquia San Marcelo;-12.047042, -77.0369005
413974282;Jirón Ancash Lima;Iglesia de la Buenamuerte;-12.0472049, -77.0222426
440444589;;Monasterio de la Santísima Trinidad;-12.0473521, -77.0364615
298385725;;Parroquia Santo Toribio - La Inmaculada;-12.0477212, -77.0399453
413974281;;Iglesia Las Trinitarias;-12.0477566, -77.0229854
6173401;Jirón Maynas Cercado de Lima;Parroquia Nuestra Señora de las Mercedes;-12.047811, -77.0177422
413976454;Jirón Huanuco Cercado de Lima;Iglesia de Santa Clara;-12.0481845, -77.0199111
804442698;;Iglesia Adventista del Séptimo Dia;-12.0483738, -77.013134
126587274;;Iglesia de la Merced;-12.0484147, -77.0325208
6586667;;Convento de la Merced;-12.0488077, -77.0324896
298417974;;La Concepccion;-12.0491496, -77.0269627
126587273;;Basílica de San Pedro;-12.0493835, -77.028738
126587276;;Monasterio de Jesús María y José Hermanas Clarisas Capuchinas;-12.0496186, -77.0350877
2023937642;;Parroquia Santiago Apóstol - Cercado;-12.0498, -77.011902
690018003;;San Rafael;-12.0498694, -77.0613497
5449175382;Jirón Junín 899 Cercado de Lima;Iglesia San José;-12.0499916, -77.0226496
2023937334;;Parroquia La Santísima Trinidad;-12.0505452, -77.0643284
8052281;;Convento de la Santisima Trinidad;-12.0509312, -77.031245
4400009118;Jirón Ayacucho Cercado de Lima;Monasterio de Santa Rosa de Santa María;-12.0512098, -77.0273033
2710325;Avenida Garcilazo de la Vega 924 Cercado de Lima;Templo Esclavas del Sagrado Corazón de Jesús;-12.0512659, -77.0390996
804408558;;Monasterio Hijas del Santísimo Salvador;-12.051296, -77.0155461
4408955453;;Nuestra Señora del Pardo;-12.0516266, -77.0153089
565936685;Jirón Huanta 817 Cercado de Lima;Parroquia de Santa Ana;-12.0516286, -77.0226502
437504160;;Cene Señor de La Misericordia;-12.0519736, -77.0150721
2023937345;;Parroquia Nuestra Señora de Fátima- Unidad Vecinal;-12.051985, -77.080231
9763338278;;Iglesia Juan17:21;-12.0520936, -77.0712619
6518069690;;Jesus Reparador;-12.0524451, -77.0262404
2023937452;;Parroquia Sagrado Corazón de Jesús - Los Huérfanos;-12.0526778, -77.0315485
435853057;;Iglesia Adventista del Septimo Dia;-12.0527715, -77.0660927
4119503763;Avenida Garcilazo de la Vega 1131 Cercado de Lima;Iglesia La Recoleca;-12.0536014, -77.0380173
815710719;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0546181, -77.0215535
5046984818;Avenida Abancay Cercado de Lima;Santuario Vírgen de Lourdes;-12.0548631, -77.0300584
435715080;;Comunidad Cristiana Del Espiritu Santo;-12.0548948, -77.0435082
4347851994;;Parroquia Santa Catalina;-12.0552828, -77.0263963
451647225;Jirón Huanuco Cdra. 9;Parroquia Nuestra Señora de Cocharcas;-12.0555665, -77.018554
183914428;;Parroquia Nuestra Señora de los Desamparados y San José;-12.0556031, -77.0515118
4277421590;;Alianza cristiana;-12.0565354, -77.0521146
420672527;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0566626, -77.0709496
4388373156;;Adventista España;-12.0583523, -77.0432426
434577522;;La Salle;-12.0583722, -77.0485954
721155571;;IPDA Peru;-12.0594461, -77.0429669
1122514287;;Gruta Santa Rosa;-12.0604084, -77.0644363
435391784;;El Buen Pastor;-12.0605779, -77.0585862
2023937565;;Parroquia San Pablo y Nuestra Señora del Carmen;-12.0608756, -77.0569097
402156549;;Basilica María Auxiliadora;-12.060962, -77.0429174
2023937600;;Parroquia Santa Magdalena Sofía Barat;-12.0611367, -77.003184
435516619;;Primera Iglesia Evangélica Bautista de Lima;-12.062166, -77.0379934
435545535;;Salvation Army;-12.0622056, -77.0395774
2023937333;;Parroquia La Sagrada Familia;-12.0622129, -77.0087045
4462647291;;IGLESIA BETEL;-12.0623487, -77.0697817
438477735;Avenida 28 de Julio La Victoria;Iglesia Cristiana Pentecostes del Peru;-12.0626408, -77.0237654
435384437;;Catedral de Fe;-12.0627328, -77.0405732
435385728;;"Iglesia Evangélica Peruana ""Maranatha""";-12.0627387, -77.0431374
435343328;;Iglesia de Jesucristo de los Últimos Santos del Día;-12.0630551, -77.0732788
10805827105;Jirón Leonidas La Sarre 792;Misión Libre;-12.0631188, -77.0683294
438804007;Prolongacion Parinacochas Lima;Iglesia Advetista de Septimo Dia;-12.0636607, -77.0174212
401027225;;Parroquia Nuestra Señora de las Victorias;-12.0638033, -77.0312588
2023937417;;Parroquia Nuestra Señora del Camino;-12.0638954, -76.9978843
2023937655;;Parroquia Virgen del Buen Remedio y San Pablo Apóstol;-12.064366, -77.075859
5592030322;Jirón Humboldt 1092;Iglesia Pentecostal Unida del Perú;-12.064779, -77.0196513
3701570797;Prolongación Huánuco 1780 La Victoria;Convento Hermanas Franciscanas de Bamberga;-12.0659737, -77.0147987
4458459064;Jirón La Mar La Victoria;Iglesia Adventista El Porvenir - Matute;-12.0672181, -77.0193663
2023937460;;Parroquia San Antonio María Claret;-12.067545, -77.018364
