C_MODULAR;CENTRO_EDUCATIVO;NIVEL;TIPO;DIRECCION;DISTRITO;UBIGEO;COORDENADAS;TOTAL
331074;CATOLICA LAS MERCEDES;Primaria;Privada;JIRON TNTE ARANCIBIA 358 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04908,-77.01389;149
331249;SANTA TERESA DE JESUS;Primaria;Privada;JIRON OROPESA 180 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05101,-77.01181;216
331280;FRAY LUIS DE LEON;Primaria;Privada;JIRON JUAN OLAECHEA ARNAO 1381 ELIO - LIMA CERCADO;LIMA;150101;-12.05399,-77.07401;104
331355;INMACULADA DE LAS NIEVES;Primaria;Privada;AVENIDA LUIS BRAILLE 1437 LA TRINIDAD - LIMA CERCADO;LIMA;150101;-12.053,-77.06663;58
331447;JESUS REPARADOR;Primaria;Privada;JIRON CUZCO 723 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.053,-77.02635;176
331512;LIMA SAN CARLOS;Primaria;Privada;AVENIDA URUGUAY 384-390 CERCADO - LIMA CERCADO;LIMA;150101;-12.05415,-77.03947;15
331553;ASOCIACION COLEGIO MARIA ALVARADO;Primaria;Privada;AVENIDA 28 DE JULIO 249 CERCADO - LIMA CERCADO;LIMA;150101;-12.06495,-77.04391;442
331694;NUESTRA SEÑORA DE LA MERCED;Primaria;Privada;JIRON PEREZ DE TUDELA 2474 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03605,-77.0729;175
331702;105 PEDRO CORONADO ARRASCUE;Primaria;Pública de gesti¢n directa;AVENIDA ALFONSO UGARTE 120 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04086,-77.0443;143
331736;NUESTRA SEÑORA DEL PRADO;Primaria;Privada;JIRON JUNIN 1411 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05183,-77.01496;124
331744;NUESTRA SEÑORA DE LAS MERCEDES;Primaria;Privada;JIRON MAYNAS 540 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04846,-77.01722;195
331751;NIÑO JESUS DE PRAGA;Primaria;Privada;JIRON CONCHUCOS 278 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04609,-77.01147;155
331769;NUESTRA SEÑORA DEL CARMELO;Primaria;Privada;JIRON MIRO QUESADA 1533 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05215,-77.01366;...
331785;NUESTRA SEÑORA DE COCHARCAS;Primaria;Privada;JIRON HUANUCO 942 ALTOS - LIMA CERCADO;LIMA;150101;-12.05531,-77.01851;184
332098;SAN ANDRES;Primaria;Privada;AVENIDA PETIT THOUARS 179 SANTA BEATRIZ - LIMA CERCADO;LIMA;150101;-12.06483,-77.03619;248
332189;SANTA ISABEL DE HUNGRIA;Primaria;Privada;AVENIDA NACIONES UNIDAS 1678 CHACRA RIOS NORTE - LIMA CERCADO;LIMA;150101;-12.05328,-77.06148;260
332205;SANTISIMA TRINIDAD;Primaria;Privada;JIRON HOLANDA 2456 CHACRA RIOS NORTE - LIMA CERCADO;LIMA;150101;-12.05127,-77.0644;593
332213;111 SAN JOSE DE ARTESANOS;Primaria;Pública de gesti¢n directa;JIRON AYACUCHO 179 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04645,-77.02476;281
332239;SAN IGNACIO DE LOYOLA;Primaria;Privada;JIRON SANCHEZ PINILLOS 280 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.0483,-77.04511;302
332262;SANTISIMO SALVADOR;Primaria;Privada;JIRON ANCASH 880 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04765,-77.022;87
332288;SANTO TOMAS DE AQUINO;Primaria;Privada;CALLE RINCONADA DE SANTO DOMINGO 209 LIMA - LIMA CERCADO;LIMA;150101;-12.04303,-77.03274;294
332296;SANTA ZOILA;Primaria;Privada;JIRON HUANTA 1011 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05392,-77.02327;59
332304;SEÑOR DE LA MISERICORDIA;Primaria;Privada;JIRON JUNIN 1458 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05193,-77.01502;360
334938;0035 NUESTRA SEÑORA DE LA VISITACION;Primaria;Pública de gesti¢n directa;JIRON PACASMAYO 550 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.046186,-77.046883;358
334961;0038 SAN MARTIN DE PORRES;Primaria;Pública de gesti¢n directa;JIRON ASCOPE 142 CONDE DE LA VEGA ALTA - LIMA CERCADO;LIMA;150101;-12.03948,-77.04636;142
334979;0040 HIPOLITO UNANUE;Primaria;Pública de gesti¢n directa;AVENIDA ELVIRA GARCIA Y GARCIA S/N UNIDAD VECINAL DE MIRONES - LIMA CERCADO;LIMA;150101;-12.05265,-77.0704;414
335224;PNP TUPAC AMARU;Primaria;Pública de gesti¢n directa;AVENIDA SEBASTIAN LORENTE 731 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04982,-77.01277;245
336297;1001 JOSE JIMENEZ BORJA;Primaria;Pública de gesti¢n directa;JIRON WASHINGTON 1454 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05908,-77.03922;341
