C_MODULAR;CENTRO_EDUCATIVO;NIVEL;TIPO;DIRECCION;DISTRITO;UBIGEO;COORDENADAS;TOTAL
578435;1146 REPUBLICA DEL PARAGUAY;Secundaria;Pública de gesti¢n directa;AVENIDA EMANCIPACION 731 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04518,-77.03971;385
632471;1001 JOSE JIMENEZ BORJA;Secundaria;Pública de gesti¢n directa;JIRON WASHINGTON 1454 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05908,-77.03922;359
642801;1035 JOSE DEL CARMEN MARIN ARISTA;Secundaria;Pública de gesti¢n directa;AVENIDA NICOLAS DE PIEROLA 1533 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05579,-77.02819;685
644856;INMACULADA VIRGEN DEL TRANSITO;Secundaria;Privada;JIRON HUARI 660 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05132,-77.0142;37
644880;0099 OSCAR MIRO QUESADA DE LA GUERRA;Secundaria;Pública de gesti¢n directa;JIRON PARURO 231 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04595,-77.02188;130
644914;SEÑOR DE LUREN;Secundaria;Privada;JIRON CRESPO Y CASTILLO 2401 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03663,-77.07231;128
645093;NUESTRA SEÑORA DE LA MERCED;Secundaria;Privada;JIRON PEREZ DE TUDELA 2474 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03605,-77.0729;221
739367;NUESTRA SEÑORA DE MONTSERRAT;Secundaria;Privada;JIRON LIMA 653 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.042483,-77.036749;771
763771;1157 JULIO CESAR TELLO ROJAS;Secundaria;Pública de gesti¢n directa;AVENIDA JOAQUIN CAPELLO 3110 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03722,-77.0801;335
763789;VISION MUNDIAL;Secundaria;Pública de gesti¢n directa;CARRETERA VIA EVITAMIENTO KM.4.5 MZ L LOTE 1-2 NUEVA CAJA DE AGUA - LIMA CERCADO;LIMA;150101;-12.0327,-77.0107;133
497081;1028 REPUBLICA ARGENTINA;Secundaria;Pública de gesti¢n directa;JIRON MIROQUESADA 1340 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05314,-77.01645;335
825505;SANTA TERESA DE AVILA;Primaria;Privada;AVENIDA PROLONGACION ARICA 2048  - LIMA CERCADO;LIMA;150101;-12.0542,-77.06119;30
825653;1015 REPUBLICA DE ITALIA;Primaria;Pública de gesti¢n directa;AVENIDA VENEZUELA CDRA 27 BLOCK 5 S/N PALOMINO - LIMA CERCADO;LIMA;150101;-12.05946,-77.07164;251
1048750;107 VIRGEN DE LA MEDALLA MILAGROSA;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;JIRON QUILCA 534 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.051,-77.04134;94
1048792;0035 NUESTRA SEÑORA DE LA VISITACION;Inicial - JardÍn;Pública de gesti¢n directa;JIRON PACASMAYO 550 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.046186,-77.046883;213
1048834;111 ARZOBISPO LOAYZA;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;AVENIDA ALFONSO UGARTE 848 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.049455,-77.044792;92
1049758;LAS ESTRELLITAS;Inicial - JardÍn;Privada;JIRON MARIANO DELGADO DE LA FLOR 156 2 DE MAYO - LIMA CERCADO;LIMA;150101;-12.03726,-77.04977;44
1050111;SANTA MARIA DE LOS ANGELES;Inicial - JardÍn;Privada;JIRON CONDESUYOS 536 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.03825,-77.05149;16
1049832;SANTA ISABEL DE LAS AMERICAS;Inicial - JardÍn;Privada;JIRON DIEGO DE LA TORRE 1330 EL PLANETA - LIMA CERCADO;LIMA;150101;-12.03835,-77.06004;3
1049915;JESUS DE NAZARETH DE LIMA;Inicial - JardÍn;Privada;JIRON CRESPO Y CASTILLO 2648 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03684,-77.07458;0
1049998;CALU;Inicial - JardÍn;Privada;JIRON PEREZ DE TUDELA 2065 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03597,-77.06875;35
1050038;INTERNACIONAL ELIM;Inicial - JardÍn;Privada;CALLE SANTA FRANCISCA ROMANA 843 -845 ETAPA III PANDO - LIMA CERCADO;LIMA;150101;-12.056921,-77.055711;31
1049055;INMACULADA DE LAS NIEVES;Secundaria;Privada;AVENIDA LUIS BRAILLE 1437 LA TRINIDAD - LIMA CERCADO;LIMA;150101;-12.053,-77.06663;74
1049097;INTERNACIONAL ELIM;Secundaria;Privada;CALLE SANTA FRANCISCA ROMANA 843 -845 ETAPA III PANDO - LIMA CERCADO;LIMA;150101;-12.056921,-77.055711;126
1049337;ELIM;Secundaria;Privada;JIRON PALCA 128 CERCADO - LIMA CERCADO;LIMA;150101;-12.0632,-77.0404;127
1050681;LAS ESTRELLITAS;Primaria;Privada;JIRON MARIANO DELGADO DE LA FLOR 156 2 DE MAYO - LIMA CERCADO;LIMA;150101;-12.03726,-77.04977;143
1050368;SANTA MARIA DE LOS ANGELES;Primaria;Privada;JIRON CONDESUYOS 536 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.03825,-77.05149;53
1049808;JESUS DE NAZARETH DE LIMA;Primaria;Privada;JIRON CRESPO Y CASTILLO 2648 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03684,-77.07458;64
1050608;INTERNACIONAL ELIM;Primaria;Privada;CALLE SANTA FRANCISCA ROMANA 843 -845 ETAPA III PANDO - LIMA CERCADO;LIMA;150101;-12.056921,-77.055711;118
1049725;SANTA ISABEL DE LAS AMERICAS;Primaria;Privada;JIRON DIEGO DE LA TORRE 1330 EL PLANETA - LIMA CERCADO;LIMA;150101;-12.03835,-77.06004;42
1049493;SANTA ZOILA;Secundaria;Privada;JIRON HUANTA 1011 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05392,-77.02327;99
1050566;CALU;Primaria;Privada;JIRON PEREZ DE TUDELA 2065 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03597,-77.06875;102
1050202;MUNDO NUEVO;Primaria;Privada;JIRON TUPAC AMARU 412 1 DE OCTUBRE - LIMA CERCADO;LIMA;150101;-12.04015,-77.06107;20
1050129;VIRGEN DEL ROSARIO;Primaria;Privada;JIRON ANCASH 1532 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04475,-77.01186;18
1050087;SANTA CLARA DE ASIS;Primaria;Privada;JIRON JAUJA 507 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04848,-77.02097;128
1050046;EL EDEN;Primaria;Privada;JIRON TNTE ARANCIBIA 106-136 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04929,-77.01643;17
1049485;MI PEQUEÑIN;Inicial - Cuna-jardÍn;Privada;JIRON VICTOR CRIADO TEJADA 2896 ELIO - LIMA CERCADO;LIMA;150101;-12.05702,-77.07505;27
1049402;LOS ROBLES;Inicial - JardÍn;Privada;JIRON CARLOS ARRIETA 1249 SANTA BEATRIZ - LIMA CERCADO;LIMA;150101;-12.07668,-77.032;57
1049204;BARCIA BONIFATTI;Inicial - JardÍn;Privada;JIRON PEREZ DE TUDELA 3012-3014 MIRONES BAJO - LIMA CERCADO;LIMA;150101;-12.03759,-77.07919;8
1048768;MY LITTLE STAR;Inicial - JardÍn;Privada;JIRON ABELARDO GAMARRA 1477 ELIO - LIMA CERCADO;LIMA;150101;-12.05495,-77.07378;39
1050319;MUNDO NUEVO;Inicial - JardÍn;Privada;JIRON TUPAC AMARU 412 1 DE OCTUBRE - LIMA CERCADO;LIMA;150101;-12.04015,-77.06107;17
1050236;SANTA CLARA DE ASIS;Inicial - JardÍn;Privada;JIRON JAUJA 507 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04848,-77.02097;57
1050194;EL EDEN;Inicial - JardÍn;Privada;JIRON TNTE ARANCIBIA 106-136 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04929,-77.01643;4
1049071;SANTA ANA;Primaria;Privada;JIRON PARURO 769 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.051319,-77.024554;266
1073998;VISION MUNDIAL;Primaria;Pública de gesti¢n directa;CARRETERA VIA EVITAMIENTO KM.4.5 MZ L LOTE 1-2 NUEVA CAJA DE AGUA - LIMA CERCADO;LIMA;150101;-12.0327,-77.0107;167
1072248;ALBERT EINSTEIN;Inicial - JardÍn;Privada;AVENIDA TACNA 293 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.0445,-77.03595;...
1072289;VIRGEN DEL ROSARIO;Inicial - JardÍn;Privada;JIRON ANCASH 1532 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04475,-77.01186;5
1072362;CARLOTITA;Inicial - JardÍn;Privada;JIRON CONDE DE LA VEGA BAJA 582 - 584 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.03889,-77.05232;27
1072966;CARLOTITA;Primaria;Privada;JIRON CONDE DE LA VEGA BAJA 582 - 584 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.03889,-77.05232;34
1049824;CORAZON DE JESUS;Inicial - JardÍn;Privada;JIRON JOAQUIN CAPELLO 2400 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03551,-77.07228;9
1072685;1168 HEROES DEL CENEPA;Primaria;Pública de gesti¢n directa;JIRON HUALLAGA 878 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05144,-77.02293;602
1072727;1168 HEROES DEL CENEPA;Secundaria;Pública de gesti¢n directa;JIRON HUALLAGA 878 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05144,-77.02293;700
1049626;MI BUEN JESUS;Inicial - JardÍn;Privada;AVENIDA ENRIQUE MEIGGS 1532 EL PLANETA - LIMA CERCADO;LIMA;150101;-12.03867,-77.06274;25
747436;112 PEQUEÑOS DE FATIMA;Inicial - JardÍn;Pública de gesti¢n directa;JIRON LAS AZUCENAS 1472 LAS BRISAS AVEP - LIMA CERCADO;LIMA;150101;-12.06315,-77.06569;146
1020460;MARIA MADRE;Inicial - JardÍn;Privada;AVENIDA STA BERNARDITA MZ H LOTE 085 PALOMINO - LIMA CERCADO;LIMA;150101;-12.06063,-77.07515;7
1054022;SAN JOSE Y EL NIÑO JESUS;Inicial - Cuna-jardÍn;Privada;AVENIDA BELISARIO SOSA PELAEZ 1408 CHACRA RIOS SUR - LIMA CERCADO;LIMA;150101;-12.06232,-77.06332;...
1050020;CORAZON DE JESUS;Primaria;Privada;JIRON JOAQUIN CAPELLO 2400 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03551,-77.07228;46
1098102;JUAN PABLO VIZCARDO Y GUZMAN;Primaria;Pública de gesti¢n directa;AVENIDA NICOLAS DUEÑAS 555 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.041475,-77.065068;375
1098425;BARCIA BONIFATTI;Primaria;Privada;JIRON PEREZ DE TUDELA 3012-3014 MIRONES BAJO - LIMA CERCADO;LIMA;150101;-12.03759,-77.07919;100
1098185;VIRGEN DE LA MEDALLA MILAGROSA;Inicial - JardÍn;Privada;JIRON EDUARDO TERRY 1540 PARQUE UNION - LIMA CERCADO;LIMA;150101;-12.04353,-77.0619;25
665174;SAN PABLO;Primaria;Privada;AVENIDA LA ALBORADA 1707 LAS BRISAS AVEP - LIMA CERCADO;LIMA;150101;-12.06664,-77.06723;145
334680;PEDRO GALVEZ EGUSQUIZA;Secundaria;Pública de gesti¢n directa;CALLE EMILIO GARCIA ROSELL 670 LAS BRISAS AVEP - LIMA CERCADO;LIMA;150101;-12.06429,-77.06796;316
830539;DIVINO REDENTOR;Primaria;Privada;AVENIDA LA ALBORADA 1720 LAS CIPRESES AVEP - LIMA CERCADO;LIMA;150101;-12.06639,-77.0675;52
829556;SAN PABLO;Secundaria;Privada;CALLE MARTE 443 LAS BRISAS AVEP - LIMA CERCADO;LIMA;150101;-12.0672,-77.06895;157
829945;CORAZON INMACULADO DE MARIA;Inicial - JardÍn;Privada;AVENIDA SANTA TEODOSIA 333 PANDO - LIMA CERCADO;LIMA;150101;-12.06341,-77.07446;35
1054501;LIBERTAD;Primaria;Privada;CALLE YAPURA 117 - 125 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.05083,-77.0463;72
335232;02 MUNDO DE COLORES;Inicial - JardÍn;Pública de gesti¢n directa;JIRON YAVARI 243-249 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.05164,-77.04826;207
335349;01 SAN JUDAS TADEO;Inicial - JardÍn;Pública de gesti¢n directa;JIRON FEDERICO VILLAREAL 151 SAN LUIS DE GONZAGA - BREÑA;BREÑA;150105;-12.06147,-77.05125;269
335372;03 INMACULADA CONCEPCION;Inicial - JardÍn;Pública de gesti¢n directa;AVENIDA TINGO MARIA 1655  - BREÑA;BREÑA;150105;-12.06462,-77.06007;157
335638;PERUANO CHINO DIEZ DE OCTUBRE;Inicial - JardÍn;Privada;AVENIDA MARIANO CORNEJO 1090  - BREÑA;BREÑA;150105;-12.06687,-77.06068;51
335836;LOS SANTOS APOSTOLES;Inicial - JardÍn;Privada;JIRON NAPO 542 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.05577,-77.05254;54
601088;075 SANTA MARIA DE GUADALUPE;Inicial - JardÍn;Pública de gesti¢n directa;JIRON CHAMAYA 476  - BREÑA;BREÑA;150105;-12.05276,-77.05338;162
664037;JESUS EL BUEN PASTOR;Inicial - JardÍn;Privada;AVENIDA ARICA 1234  - BREÑA;BREÑA;150105;-12.05646,-77.05343;30
664052;LA SAGRADA FAMILIA DE BREÑA;Inicial - JardÍn;Privada;JIRON CARHUAZ 525  - BREÑA;BREÑA;150105;-12.05401,-77.0483;16
665117;GIORDANO BRUNO;Inicial - JardÍn;Privada;AVENIDA BOLIVIA 576  - BREÑA;BREÑA;150105;-12.05625,-77.04352;53
774034;MI PRIMER CAMINO;Inicial - JardÍn;Privada;JIRON AGUAYTIA 178  - BREÑA;BREÑA;150105;-12.06424,-77.05773;13
774067;MI PEQUEÑA CASITA;Inicial - JardÍn;Privada;AVENIDA PUCALLPA 381  - BREÑA;BREÑA;150105;-12.0659,-77.05634;33
774091;CRISTO REY;Inicial - JardÍn;Privada;JIRON IQUIQUE 844  - BREÑA;BREÑA;150105;-12.05874,-77.04333;1
601062;116 SAN PABLO;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;AVENIDA ALFONSO UGARTE 227 - 229 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04209,-77.04295;224
747592;115 INSTITUTO DE SALUD DEL NIÑO;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;AVENIDA BRASIL 660  - BREÑA;BREÑA;150105;-12.06569,-77.04626;77
325787;1014 REP. ORIENTAL DEL URUGUAY;Primaria;Pública de gesti¢n directa;JIRON JORGE CHAVEZ 628  - BREÑA;BREÑA;150105;-12.05614,-77.04789;336
325845;1019 CHAVIN;Primaria;Pública de gesti¢n directa;JIRON CHAVIN 195 BREÑA - BREÑA;BREÑA;150105;-12.052576,-77.04449;259
331108;PERUANO CHINO DIEZ DE OCTUBRE;Primaria;Privada;AVENIDA MARIANO CORNEJO 1090  - BREÑA;BREÑA;150105;-12.06687,-77.06068;372
331199;ESPAÑA;Primaria;Privada;AVENIDA ESPAÑA 617 BREÑA - BREÑA;BREÑA;150105;-12.0583,-77.04345;142
331470;LUZ CASANOVA;Primaria;Privada;JIRON JUSTA GARCIA ROBLEDO 491 AZCONA - BREÑA;BREÑA;150105;-12.06027,-77.05694;207
331488;LA SALLE;Primaria;Privada;AVENIDA ARICA 601 BREÑA - BREÑA;BREÑA;150105;-12.058714,-77.04789;700
331504;LOS SANTOS APOSTOLES;Primaria;Privada;JIRON NAPO 542 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.05577,-77.05254;167
331637;SAN FRANCISCO JAVIER;Primaria;Privada;JIRON RECUAY 760  - BREÑA;BREÑA;150105;-12.05611,-77.05156;189
331819;PATROCINIO DE SAN JOSE;Primaria;Privada;JIRON POMABAMBA 780  - BREÑA;BREÑA;150105;-12.050105,-77.050748;382
332346;SAN FRANCISCO DE SALES;Primaria;Privada;AVENIDA BRASIL 328  - BREÑA;BREÑA;150105;-12.06206,-77.04329;421
334821;0001 MARIA AUXILIADORA;Primaria;Pública de gesti¢n privada;JIRON ISAIAS CLIVIO 237 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04671,-77.01373;283
334839;0002 HERMANO ANSELMO MARIA;Primaria;Pública de gesti¢n directa;AVENIDA BOLIVIA 532 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.0562,-77.04272;191
334847;0004 MARIANO MELGAR;Primaria;Pública de gesti¢n directa;JIRON SAN LUIS 246 SAN LUIS - BREÑA;BREÑA;150105;-12.06219,-77.05445;380
334862;0005 ROSA DE SANTA MARIA;Primaria;Pública de gesti¢n directa;JIRON CARHUAZ 326 BREÑA - BREÑA;BREÑA;150105;-12.053427,-77.045407;503
336370;1005 JORGE CHAVEZ DARTNELL;Primaria;Pública de gesti¢n directa;JIRON JORGE CHAVEZ 649 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.05624,-77.04776;345
336438;1008 VIRGEN DE LOURDES;Primaria;Pública de gesti¢n directa;JIRON RECUAY 439  - BREÑA;BREÑA;150105;-12.05584,-77.04707;281
337980;1017 SEÑOR DE LOS MILAGROS;Primaria;Pública de gesti¢n directa;JIRON NAPO 1129 AZCONA - BREÑA;BREÑA;150105;-12.06122,-77.05545;374
497172;SANTA MARIA DE BREÑA;Primaria;Privada;JIRON PEDRO RUIZ 122  - BREÑA;BREÑA;150105;-12.06972,-77.05016;452
664045;JESUS EL BUEN PASTOR;Primaria;Privada;AVENIDA ARICA 1234  - BREÑA;BREÑA;150105;-12.05646,-77.05343;85
665125;GIORDANO BRUNO;Primaria;Privada;AVENIDA BOLIVIA 576  - BREÑA;BREÑA;150105;-12.05625,-77.04352;169
774364;CRISTO REY;Primaria;Privada;JIRON IQUIQUE 844  - BREÑA;BREÑA;150105;-12.05874,-77.04333;1
334664;MARIANO MELGAR;Secundaria;Pública de gesti¢n directa;PASAJE MARIANO MELGAR CUADRA 12 S/N  - BREÑA;BREÑA;150105;-12.0599,-77.05371;1216
334714;MICAELA BASTIDAS;Secundaria;Pública de gesti¢n directa;JIRON RESTAURACION S/N  - BREÑA;BREÑA;150105;-12.06162,-77.05248;156
334722;0005 ROSA DE SANTA MARIA;Secundaria;Pública de gesti¢n directa;JIRON CARHUAZ 326 BREÑA - BREÑA;BREÑA;150105;-12.053427,-77.045407;865
336792;PERUANO CHINO DIEZ DE OCTUBRE;Secundaria;Privada;AVENIDA MARIANO CORNEJO 1090  - BREÑA;BREÑA;150105;-12.06687,-77.06068;338
336982;LA SALLE;Secundaria;Privada;AVENIDA ARICA 601 BREÑA - BREÑA;BREÑA;150105;-12.058714,-77.04789;565
337014;MARIA DE LA PROVIDENCIA;Secundaria;Privada;JIRON CENTENARIO 1075  - BREÑA;BREÑA;150105;-12.06029,-77.05591;140
337105;MARIA AUXILIADORA;Secundaria;Privada;JIRON SANTA MARIA MAZZARELLO (OLMEDO) 120 NOSIGLIA - BREÑA;BREÑA;150105;-12.06274,-77.04491;323
337121;SAN FRANCISCO JAVIER;Secundaria;Privada;JIRON RECUAY 760  - BREÑA;BREÑA;150105;-12.05611,-77.05156;178
337162;PATROCINIO DE SAN JOSE;Secundaria;Privada;JIRON POMABAMBA 780  - BREÑA;BREÑA;150105;-12.050105,-77.050748;372
337311;SAN FRANCISCO DE SALES;Secundaria;Privada;AVENIDA BRASIL 328  - BREÑA;BREÑA;150105;-12.06206,-77.04329;526
466730;0001 MARIA AUXILIADORA;Secundaria;Pública de gesti¢n privada;JIRON ISAIAS CLIVIO 237 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04671,-77.01373;250
497198;SANTA MARIA DE BREÑA;Secundaria;Privada;JIRON PEDRO RUIZ 122  - BREÑA;BREÑA;150105;-12.06972,-77.05016;524
518944;LUZ CASANOVA;Secundaria;Privada;JIRON JUSTA GARCIA ROBLEDO 491 AZCONA - BREÑA;BREÑA;150105;-12.06027,-77.05694;158
556266;0002 HERMANO ANSELMO MARIA;Secundaria;Pública de gesti¢n directa;AVENIDA BOLIVIA 532 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.0562,-77.04272;287
665083;JESUS EL BUEN PASTOR;Secundaria;Privada;AVENIDA ARICA 1234  - BREÑA;BREÑA;150105;-12.05646,-77.05343;118
764589;ESPAÑA;Secundaria;Privada;AVENIDA ESPAÑA 617 BREÑA - BREÑA;BREÑA;150105;-12.0583,-77.04345;129
825752;1006 MARISCAL ANDRES AVELINO CACERES;Primaria;Pública de gesti¢n directa;JIRON RECUAY 271 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.05563,-77.0446;318
824870;ALFONSO UGARTE;Primaria;Privada;JIRON BREÑA 260  - BREÑA;BREÑA;150105;-12.05929,-77.04265;23
824904;LA SAGRADA FAMILIA DE BREÑA;Primaria;Privada;JIRON CARHUAZ 525  - BREÑA;BREÑA;150105;-12.05401,-77.0483;38
825695;MARIA DE LA PROVIDENCIA;Primaria;Privada;JIRON CENTENARIO 1075  - BREÑA;BREÑA;150105;-12.06029,-77.05591;132
827717;EVELYN Y MARTIN;Inicial - JardÍn;Privada;JIRON NAPO 113  - BREÑA;BREÑA;150105;-12.05139,-77.0523;49
1020510;MI PRIMER PASO;Inicial - JardÍn;Privada;JIRON PEDRO RUIZ GALLO 378  - BREÑA;BREÑA;150105;-12.06765,-77.05273;19
827626;MIS AÑOS INOLVIDABLES;Inicial - JardÍn;Privada;JIRON CENTENARIO 357 VINCHOTA - BREÑA;BREÑA;150105;-12.06502,-77.05017;41
1020403;MIS AÑOS INOLVIDABLES;Primaria;Privada;JIRON CENTENARIO 357 VINCHOTA - BREÑA;BREÑA;150105;-12.06502,-77.05017;122
1020429;LOS SANTOS APOSTOLES;Secundaria;Privada;JIRON NAPO 542 CHACRA COLORADA - BREÑA;BREÑA;150105;-12.05577,-77.05254;120
828046;GIORDANO BRUNO;Secundaria;Privada;AVENIDA BOLIVIA 576  - BREÑA;BREÑA;150105;-12.05625,-77.04352;142
826974;ALFONSO UGARTE;Secundaria;Privada;JIRON BREÑA 260  - BREÑA;BREÑA;150105;-12.05929,-77.04265;29
827097;HERMANO NOE ZEVALLOS ORTEGA;Primaria;Privada;AVENIDA ARICA 601 BREÑA - BREÑA;BREÑA;150105;-12.058714,-77.04789;190
827121;HERMANO NOE ZEVALLOS ORTEGA;Secundaria;Privada;AVENIDA ARICA 601 BREÑA - BREÑA;BREÑA;150105;-12.058714,-77.04789;202
827956;CRISTO REY;Secundaria;Privada;JIRON IQUIQUE 844  - BREÑA;BREÑA;150105;-12.05874,-77.04333;1
828137;SANTISIMO SEÑOR DE LUREN;Primaria;Privada;JIRON CASTROVIRREYNA 458  - BREÑA;BREÑA;150105;-12.06608,-77.05271;0
903435;SANTISIMO SEÑOR DE LUREN;Inicial - JardÍn;Privada;JIRON CASTROVIRREYNA 458  - BREÑA;BREÑA;150105;-12.06608,-77.05271;39
903559;ALBERT EINSTEIN;Inicial - JardÍn;Privada;JIRON PORTUGAL 285-287 BREÑA - BREÑA;BREÑA;150105;-12.05744,-77.04417;123
903583;ALBERT EINSTEIN;Primaria;Privada;JIRON PORTUGAL 285-287 BREÑA - BREÑA;BREÑA;150105;-12.05744,-77.04417;1
1053867;HANS CHRISTIAN ANDERSEN;Inicial - JardÍn;Privada;AVENIDA BOLIVIA 755  - BREÑA;BREÑA;150105;-12.05671,-77.04563;64
1053909;HANS CHRISTIAN ANDERSEN;Primaria;Privada;AVENIDA BOLIVIA 755  - BREÑA;BREÑA;150105;-12.05671,-77.04563;214
1054188;SEMILLITAS DEL SABER;Inicial - JardÍn;Privada;AVENIDA TINGO MARIA 1141  - BREÑA;BREÑA;150105;-12.05751,-77.05781;12
1053941;TRECE DE MAYO;Inicial - JardÍn;Privada;JIRON PARIACOTO 649  - BREÑA;BREÑA;150105;-12.05243,-77.05007;18
1021682;ALBERT EINSTEIN;Secundaria;Privada;JIRON PORTUGAL 285-287 BREÑA - BREÑA;BREÑA;150105;-12.05744,-77.04417;137
315895;LITTLE DALTON;Inicial - JardÍn;Privada;AVENIDA PETIT THOUARS 1829 LIMA CERCADO - LINCE;LINCE;150116;-12.0826,-77.03341;98
316679;SAN TARCISIO;Inicial - JardÍn;Privada;JIRON MAMA OCLLO 1860 SAN EUGENIO - LINCE;LINCE;150116;-12.084432,-77.044289;3
316828;SANTA BEATRIZ;Inicial - Cuna-jardÍn;Privada;JIRON BELISARIO FLORES 339  - LINCE;LINCE;150116;-12.08202,-77.03868;224
521468;MICAELA BASTIDAS DE CONDORCANQUI;Inicial - JardÍn;Pública de gesti¢n directa;JIRON PEZET Y MONEL 2074  - LINCE;LINCE;150116;-12.08644,-77.04226;48
782474;ALBORADA;Inicial - Cuna-jardÍn;Privada;JIRON MANUEL CANDAMO 253  - LINCE;LINCE;150116;-12.08228,-77.03414;23
246249;SAN TARCISIO;Primaria;Privada;JIRON MAMA OCLLO 1860 SAN EUGENIO - LINCE;LINCE;150116;-12.084432,-77.044289;64
317933;1070 MELITON CARVAJAL;Primaria;Pública de gesti¢n directa;AVENIDA LEONIDAS YEROVI 2120  - LINCE;LINCE;150116;-12.08481,-77.02604;854
319582;DALTON;Primaria;Privada;AVENIDA PETIT THOUARS 1845  - LINCE;LINCE;150116;-12.0827,-77.03346;271
319665;SACO OLIVEROS DE LINCE;Primaria;Privada;JIRON GRAL CORDOVA 1601  - LINCE;LINCE;150116;-12.08139,-77.03829;278
320069;MI HOGAR Y ESCUELA;Primaria;Privada;JIRON BRIG PUMACAHUA 2250  - LINCE;LINCE;150116;-12.08426,-77.04375;182
320127;MICAELA BASTIDAS DE CONDORCANQUI;Primaria;Pública de gesti¢n directa;JIRON PEZET Y MONEL 2074  - LINCE;LINCE;150116;-12.08644,-77.04226;134
340273;SANTA ROSA DE LIMA;Primaria;Privada;JIRON JOAQUIN BERNAL 650  - LINCE;LINCE;150116;-12.087214,-77.038986;411
639104;ALBERTO BENJAMIN SIMPSON;Primaria;Privada;AVENIDA AREQUIPA 2335  - LINCE;LINCE;150116;-12.08747,-77.03383;183
729756;CHRISTA MC AULIFFE;Primaria;Privada;JIRON PACHACUTEC 2169  - LINCE;LINCE;150116;-12.08359,-77.04572;44
245647;1070 MELITON CARVAJAL;Secundaria;Pública de gesti¢n directa;AVENIDA LEONIDAS YEROVI 2120  - LINCE;LINCE;150116;-12.08481,-77.02604;1006
340588;DALTON;Secundaria;Privada;AVENIDA PETIT THOUARS 1845  - LINCE;LINCE;150116;-12.0827,-77.03346;213
340612;SACO OLIVEROS DE LINCE;Secundaria;Privada;JIRON GRAL CORDOVA 1601  - LINCE;LINCE;150116;-12.08139,-77.03829;380
343533;MI HOGAR Y ESCUELA;Secundaria;Privada;JIRON BRIG PUMACAHUA 2250  - LINCE;LINCE;150116;-12.08426,-77.04375;136
449462;SANTA ROSA DE LIMA;Secundaria;Privada;JIRON JOAQUIN BERNAL 650  - LINCE;LINCE;150116;-12.087214,-77.038986;321
644690;REPUBLICA DE CHILE;Secundaria;Pública de gesti¢n directa;JIRON RISSO 477 RISSO - LINCE;LINCE;150116;-12.0852,-77.03147;318
